transaction_id,user_id,amount,timestamp,city
T001,U001,500.00,2024-01-15T10:30:00,Mumbai
T002,U002,75000.00,2024-01-15T10:35:00,Delhi
T003,U001,250.00,2024-01-15T10:40:00,Mumbai
T004,U003,1200.00,2024-01-15T10:45:00,Bangalore
T005,U002,350.00,2024-01-15T10:50:00,Delhi
T006,U004,95000.00,2024-01-15T10:55:00,Chennai
T007,U001,480.00,2024-01-15T11:00:00,Mumbai
T008,U005,620.00,2024-01-15T11:05:00,Kolkata
T009,U003,890.00,2024-01-15T11:10:00,Bangalore
T010,U002,42000.00,2024-01-15T11:15:00,Hyderabad
T011,U006,150.00,2024-01-15T11:20:00,Pune
T012,U001,3200.00,2024-01-15T11:25:00,Mumbai
T013,U007,88000.00,2024-01-15T11:30:00,Delhi
T014,U003,560.00,2024-01-15T11:35:00,Bangalore
T015,U008,720.00,2024-01-15T11:40:00,Chennai
